unique_id	bin_type	num_genomes	SNV	SAAV	majority_allele_freq_SNV	majority_allele_freq_SAAV
1	Main_Core	20	0	0	nan	nan
2	Main_Core	20	0	0	nan	nan
3	Main_Core	20	1	0	0.692307692308	nan
4	Main_Core	20	5	2	0.59623015873	0.59375
5	Main_Core	20	0	0	nan	nan
6	Main_Core	20	0	0	nan	nan
7	Main_Core	20	0	0	nan	nan
8	Main_Core	20	0	0	nan	nan
9	Main_Core	20	4	2	0.553571428571	0.535714285714
10	Main_Core	20	0	0	nan	nan
11	Main_Core	20	0	0	nan	nan
12	Main_Core	20	0	0	nan	nan
13	Main_Core	20	0	0	nan	nan
14	Main_Core	20	0	0	nan	nan
15	Main_Core	20	0	0	nan	nan
16	Main_Core	20	5	4	0.555596688459	0.564061077965
17	Main_Core	20	0	0	nan	nan
18	Main_Core	20	1	1	0.5625	0.5625
19	Main_Core	20	5	4	0.716714975845	0.773181114551
20	Main_Core	20	0	0	nan	nan
21	Main_Core	20	4	1	0.792243083004	0.875
22	Main_Core	20	2	1	0.829953917051	0.885714285714
23	Main_Core	20	11	6	0.790873711239	0.691608966265
24	Main_Core	20	5	2	0.840263687522	0.806875631951
25	Main_Core	20	0	0	nan	nan
26	Main_Core	20	3	0	0.833649588868	nan
27	Main_Core	20	0	0	nan	nan
28	Main_Core	20	0	0	nan	nan
29	Main_Core	20	1	1	0.94623655914	0.947439963752
30	Main_Core	20	2	2	0.681878635354	0.68061967403
31	Main_Core	20	8	2	0.821960125422	0.740905227369
32	Main_Core	20	0	0	nan	nan
33	Main_Core	20	1	1	0.903256704981	0.903353057199
34	Main_Core	20	2	2	0.772609567787	0.771910387612
35	Main_Core	20	0	0	nan	nan
36	Main_Core	20	35	26	0.737559100648	0.709981051688
37	Main_Core	20	16	11	0.797375569453	0.72672215055
38	Main_Core	20	46	24	0.808638600327	0.744093540596
39	Main_Core	20	14	5	0.836661001474	0.780516013222
40	Main_Core	20	0	0	nan	nan
41	Main_Core	19	0	0	nan	nan
42	Main_Core	19	0	0	nan	nan
43	Main_Core	19	0	0	nan	nan
44	Main_Core	19	0	0	nan	nan
45	Main_Core	19	0	0	nan	nan
46	Main_Core	19	1	0	0.538461538462	nan
47	Main_Core	19	3	0	0.572115384615	nan
48	Main_Core	19	0	0	nan	nan
49	Main_Core	19	1	0	0.5625	nan
50	Main_Core	19	3	0	0.60841503268	nan
51	Main_Core	19	0	0	nan	nan
52	Main_Core	19	0	0	nan	nan
53	Main_Core	19	1	0	0.789473684211	nan
54	Main_Core	19	1	0	0.583333333333	nan
55	Main_Core	19	0	0	nan	nan
56	Main_Core	19	4	1	0.671296296296	0.481481481481
57	Main_Core	19	1	0	0.666666666667	nan
58	Main_Core	19	0	0	nan	nan
59	Main_Core	19	3	1	0.862813980085	0.907949790795
60	Main_Core	19	2	2	0.742292900689	0.740951239513
61	Main_Core	19	0	0	nan	nan
62	Main_Core	19	7	1	0.751760349373	0.583333333333
63	Main_Core	19	2	1	0.870188370188	0.151515151515
64	Main_Core	19	3	1	0.801132906171	0.878912685338
65	Main_Core	19	2	0	0.944543084099	nan
66	Main_Core	19	1	0	0.782608695652	nan
67	Main_Core	19	1	0	0.578947368421	nan
68	Main_Core	19	3	0	0.865901528386	nan
69	Main_Core	19	4	1	0.837138282732	0.941935483871
70	Main_Core	19	3	1	0.910763629606	0.941509433962
71	Main_Core	19	2	0	0.920974634684	nan
72	Main_Core	19	12	5	0.828571807652	0.816425322799
73	Main_Core	19	0	0	nan	nan
74	Main_Core	19	10	1	0.755661503564	0.676923076923
75	Main_Core	19	4	0	0.806606740859	nan
76	Main_Core	19	2	1	0.932003064651	0.94472361809
77	Main_Core	22	0	0	nan	nan
78	Main_Core	22	3	1	0.70695970696	0.846153846154
79	Main_Core	22	4	0	0.609654234654	nan
80	Main_Core	22	11	1	0.652232854864	0.666666666667
81	Main_Core	22	0	0	nan	nan
82	Main_Core	22	0	0	nan	nan
83	Main_Core	22	0	0	nan	nan
84	Main_Core	22	3	0	0.67439668175	nan
85	Main_Core	22	7	2	0.647031539889	0.638888888889
86	Main_Core	22	1	0	0.615384615385	nan
87	Main_Core	22	1	0	0.545454545455	nan
88	Main_Core	22	0	0	nan	nan
89	Main_Core	22	0	0	nan	nan
90	Main_Core	22	0	0	nan	nan
91	Main_Core	22	15	3	0.631638583696	0.74626984127
92	Main_Core	22	4	0	0.634090909091	nan
93	Main_Core	22	1	0	0.5	nan
94	Main_Core	22	5	0	0.681263157895	nan
95	Main_Core	22	0	0	nan	nan
96	Main_Core	22	6	3	0.903518898898	0.906322193268
97	Main_Core	22	5	1	0.894634256968	0.893617021277
98	Main_Core	22	3	1	0.695298340322	0.522155085599
99	Main_Core	22	2	1	0.880417567159	0.849145299145
100	Main_Core	22	1	1	0.9197907585	0.919929608447
