unique_id	pv_val	numb	SNV	expected
11542	0.999981176174	19	69	40.6912707428

11543	0.391216849624	19	41	43.4739876385

11540	0.999395416723	19	175	136.192575131

11541	0.969959953273	19	35	25.5922506352

11546	3.80967298057e-06	19	62	105.047702681

11547	4.23654926195e-21	19	387	602.063689393

11544	0.311972911804	19	28	31.3704342619

11545	0.171040147162	19	39	45.9510287846

11548	0.0609794333316	19	36	46.838508394

11549	0.999999358384	19	689	570.197520387

5988	0.100163400869	21	0	2.30095241785

5989	4.72292374743e-07	21	298	391.584084857

19399	0.702739382924	13	15	13.6579196836

19398	0.130506635919	13	119	132.384260148

5982	0.994097463567	22	243	206.451005455

5983	0.999983861189	22	115	76.5350265974

5980	0.999386450438	22	334	278.96675441

5981	0.0354591574668	22	153	177.150339672

5986	0.359687778581	22	175	180.471199014

5987	0.99985484843	22	231	180.80406258

5984	4.70072459867e-05	22	152	206.126281385

5985	0.990467065834	22	296	258.103776946

16643	5.02991583553e-22	16	387	607.931010053

29237	0.000466143547868	3	21	40.901946219

270	0.999994035501	22	93	57.4336267673

271	0.999992636462	22	458	372.029140441

272	0.450977882299	21	0	0.796336982147

273	0.883216246067	21	1	0.584375587998

274	0.00144466029728	21	66	94.0258688209

275	0.996816317181	21	116	89.632000358

276	0.999999182106	21	159	106.506487812

277	0.621282203875	21	9	8.74258304035

278	0.773985341992	21	28	24.8308193354

279	0.11251256987	21	18	24.4030737076

16707	0.999837717372	14	86	57.3716230409

16706	0.936041384772	14	69	57.7255291625

16701	0.999572649829	14	9	2.64406233641

16700	0.00388803089177	14	57	80.2957354588

16703	0.866141537551	14	100	89.9552203127

16702	0.858575855726	14	42	36.0355267682

12019	0.00049837412309	19	3	13.9380892392

12018	0.641625312904	19	100	97.0714573926

12015	0.0366090813609	19	6	12.39927251

12014	0.0165137320957	19	14	24.3944749754

12017	0.636551429053	19	150	146.421153138

12016	0.185070773214	19	10	13.8611079659

12011	7.38859499775e-10	20	370	499.567780269

12010	0.0246967315152	20	226	257.550728504

12013	0.909322361541	19	89	77.602436611

12012	0.551118040945	19	0	0.595806262383

17258	0.405168445547	15	9	10.4320637944

17259	0.00752475424511	15	10	20.6654579651

17250	0.00596779447595	14	46	65.9983552506

17251	1.59757301354e-06	14	13	38.718522471

17252	0.654897403338	14	167	162.559432246

17253	0.737961639311	14	109	103.131540614

17254	0.165898590324	14	111	122.236071906

17255	0.0179429491353	14	108	132.024922831

17256	0.000228449918715	15	47	76.1053013181

17257	0.996678478591	15	118	91.5089085386

10709	0.999999992525	19	324	233.046232687

10708	3.8994299525e-10	19	161	252.914128658

9258	0.998148936771	20	36	21.7914117921

9259	0.999878088782	20	324	262.976320839

9256	0.653983838244	20	710	700.160011441

9257	0.962536326592	20	47	36.4117076225

9254	0.989474825271	20	173	145.015758378

9255	0.789787397019	20	56	50.8193234686

9252	0.999999186497	20	116	72.2488958593

9253	0.000516315593373	20	1	9.96335028184

9250	0.999999999364	20	66	28.5589766774

9251	0.995968524233	20	9	3.60094200986

21619	0.882802316794	10	1	0.585645662929

21618	0.371968851594	10	464	471.743061113

21615	0.987431310572	10	60	44.8625170338

21614	0.848260275094	10	50	43.6949977431

21617	0.000692423046883	10	29	50.6288812955

21616	0.955599470726	10	63	51.0415867158

21611	0.00137580674742	10	57	83.4740301146

21610	0.00696096531883	10	2	8.86187142654

21613	0.994693068518	10	175	143.94627343

21612	0.836325100668	10	57	50.5487903568

19397	9.1555917049e-06	13	14	37.6492313201

19396	3.52892968629e-08	12	503	634.488433043

19395	3.69730353971e-12	12	283	415.163604029

19394	0.16569788076	12	293	310.626076498

19393	0.920267011518	12	43	35.0236012853

19392	0.965924625661	12	629	585.000746339

19391	1.0605862423e-07	12	241	331.525283558

19390	0.975531692986	12	15	9.12029756568

29236	0.00709569484599	3	21	35.1529922161

31677	0.999983368204	2	62	35.2991003261

36421	0.999991607816	1	20	6.74213676773

13058	0.999999986946	19	51	21.2645735896

13059	1.0	19	117	41.3591444891

13052	9.30982126517e-07	19	6	27.4081832204

13053	0.0292689530283	19	133	156.740900312

13050	0.982147471957	19	161	136.416250843

13051	0.986283344457	19	67	51.1165830635

13056	0.837452925911	19	78	70.2617339944

13057	0.396180792508	19	0	0.925884625176

13054	0.793611215638	19	738	716.631004362

13055	0.00206382523257	19	164	204.257967811

20258	0.154854968584	9	146	159.313086933

20259	0.999806068136	9	246	195.06091822

20252	8.09676000086e-08	12	503	630.543255466

20253	0.179258159403	9	42	48.9449728109

20250	0.620137138883	12	733	725.414061113

20251	4.01708152031e-11	12	283	407.643197033

20256	0.999540776461	9	16	6.53861062486

20257	0.998042837173	9	47	30.4309958011

20254	0.832477351715	9	19	15.702118624

20255	0.003664472279	9	57	80.4834300251

29769	0.999998185778	3	57	29.2651811495

29768	0.998859470928	3	128	97.096810335

29765	0.863994464256	3	144	131.856562057

29764	2.88860155937e-14	3	298	447.951805595

29767	0.126936748587	3	96	108.319766021

29766	0.00453536487691	3	131	163.913009828

